HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.task,Answer.comment,Approve,Reject
2XNTYMNCWYB4LIG9K18X61JPC50LPO,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2JKKMT6YTWX4T6OJHKVDE9GK458V0J,A2558HTM6DPNNC,Approved,Tue Jan 07 03:12:05 GMT 2014,Tue Jan 07 03:13:21 GMT 2014,Tue Jan 07 11:13:21 GMT 2014,2014/01/07 11:17:45 +0000,,,76,100% (1/1),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=1,Recorded*58:188*494:593|,,
2XNTYMNCWYB4LIG9K18X61JPC50LPO,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2QLP9RA7S5WMD9GFKX675JMJJXTTYO,A2REB1YFZ4CP2S,Approved,Tue Jan 07 01:38:38 GMT 2014,Tue Jan 07 01:40:57 GMT 2014,Tue Jan 07 09:40:57 GMT 2014,2014/01/07 09:42:45 +0000,,,139,100% (8/8),100% (8/8),100% (8/8),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=1,Recorded*106:189*358:493|,,
25HFYQS1CSTM0I4851VIH1EZ204LO7,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,20KCM6IAA2SEUX1BS9FQPKA6G53LLL,A2REB1YFZ4CP2S,Approved,Tue Jan 07 01:36:51 GMT 2014,Tue Jan 07 01:38:32 GMT 2014,Tue Jan 07 09:38:32 GMT 2014,2014/01/07 09:42:45 +0000,,,101,100% (8/8),100% (8/8),100% (8/8),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=8,Recorded*767:929*0:83|,,
25HFYQS1CSTM0I4851VIH1EZ204LO7,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,29PR24SMEZZ2YLR3FIL8U9Y56GN2JR,A3LIS3RWZ0MWAA,Approved,Tue Jan 07 03:28:04 GMT 2014,Tue Jan 07 03:29:39 GMT 2014,Tue Jan 07 11:29:39 GMT 2014,2014/01/07 11:32:45 +0000,,,95,100% (1/1),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=8,Recorded*0:83*89:174|,,
25HFYQS1CSTM0I4851VIH1EZ204LO7,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2MOA6X3YOCCFCFWMC6GTNNIKVLYPQJ,AK1MSQTX1C1QN,Approved,Tue Jan 07 02:21:05 GMT 2014,Tue Jan 07 02:23:38 GMT 2014,Tue Jan 07 10:23:38 GMT 2014,2014/01/07 10:27:45 +0000,,,153,100% (4/4),100% (4/4),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=8,Recorded*0:83*487:614|,,
25HFYQS1CSTM0I4851VIH1EZ204LO7,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2SMB2YU98JHS5OIKD96BO9IQ964NBH,A1C278HSIPZZ49,Approved,Tue Jan 07 03:11:51 GMT 2014,Tue Jan 07 03:12:42 GMT 2014,Tue Jan 07 11:12:42 GMT 2014,2014/01/07 11:12:45 +0000,,,51,100% (4/4),100% (4/4),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=8,Recorded*0:83*0:83*768:929|,,
25HFYQS1CSTM0I4851VIH1EZ204LO7,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2XLBJ3MMDX5F1AUNUT8BEMDZM5CDZJ,AHLADH7JTJRO8,Approved,Tue Jan 07 01:54:53 GMT 2014,Tue Jan 07 01:57:54 GMT 2014,Tue Jan 07 09:57:54 GMT 2014,2014/01/07 10:02:45 +0000,,,181,100% (11/11),100% (2/2),100% (2/2),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=8,Recorded*0:174*769:929|,,
25HFYQS1CSTM0I4851VIH1EZ204LO7,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2ZYAUC26DG67P44KN96K5COM0655CH,A3RQQWMUZJUWJ1,Approved,Tue Jan 07 03:35:24 GMT 2014,Tue Jan 07 03:37:14 GMT 2014,Tue Jan 07 11:37:14 GMT 2014,2014/01/07 11:37:46 +0000,,,110,92% (12/13),100% (7/7),100% (7/7),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=8,Recorded*88:174*614:768|,,
2DSVKI62NJQ2DA9G1IHHBBKM18LTL1,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2E70OHOVR14I9NVJDITHJCWC4KV56Q,A2ICE1AIC8MBKY,Approved,Tue Jan 07 03:49:17 GMT 2014,Tue Jan 07 03:49:35 GMT 2014,Tue Jan 07 11:49:35 GMT 2014,2014/01/07 11:52:46 +0000,,,18,50% (1/2),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=16,Recorded*189:248*404:498|,,
2DSVKI62NJQ2DA9G1IHHBBKM18LTL1,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2IAUB2YU98JH4WSSVURFGJ9KMY9AM9,A1C278HSIPZZ49,Approved,Tue Jan 07 03:12:44 GMT 2014,Tue Jan 07 03:13:20 GMT 2014,Tue Jan 07 11:13:20 GMT 2014,2014/01/07 11:17:45 +0000,,,36,100% (4/4),100% (4/4),100% (4/4),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=16,Recorded*833:944*0:102|,,
2DSVKI62NJQ2DA9G1IHHBBKM18LTL1,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2RKTLB3L0FBJLLVSBNARJVE7PC6WKQ,APWBUB0PDRLS5,Approved,Tue Jan 07 02:07:41 GMT 2014,Tue Jan 07 02:09:10 GMT 2014,Tue Jan 07 10:09:10 GMT 2014,2014/01/07 10:12:45 +0000,,,89,100% (8/8),100% (3/3),100% (3/3),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=16,Recorded*669:712*833:944|,,
2DSVKI62NJQ2DA9G1IHHBBKM18LTL1,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2UXUFJ51Y7QE02MFI1SCXTMQDK2ADC,A2REB1YFZ4CP2S,Approved,Tue Jan 07 01:35:28 GMT 2014,Tue Jan 07 01:36:45 GMT 2014,Tue Jan 07 09:36:45 GMT 2014,2014/01/07 09:37:45 +0000,,,77,100% (8/8),100% (8/8),100% (8/8),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=16,Recorded*670:711*832:944|,,
2DSVKI62NJQ2DA9G1IHHBBKM18LTL1,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2W33Q39Z0B6U5RDAWNMSYVRMECMLWT,A2FWMAJ0Z92JAY,Approved,Tue Jan 07 03:21:26 GMT 2014,Tue Jan 07 03:27:00 GMT 2014,Tue Jan 07 11:27:00 GMT 2014,2014/01/07 11:27:45 +0000,,,334,100% (1/1),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=16,Recorded*399:670*712:832 And if I go down and look at Niger* where there was such a terrible famine* lastly* it's like this. The 20 percent poorest of Niger is out here* and the 20 percent richest of South Africa is there* and yet we tend to discuss on what solutions there should be in Africa. And you can't discuss universal access to HIV [medicine] for that quintile up here with the same strategy as down here.|Good.,,
2DSVKI62NJQ2DA9G1IHHBBKM18LTL1,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Tue Jan 07 01:30:39 GMT 2014,6,BatchId:1377619;,3600,28800,Tue Jan 14 01:30:39 GMT 2014,,,2WGFXRDS4IC1Q1K4PS6M61A4GIPVYM,A3RQQWMUZJUWJ1,Approved,Tue Jan 07 03:37:24 GMT 2014,Tue Jan 07 03:38:56 GMT 2014,Tue Jan 07 11:38:56 GMT 2014,2014/01/07 11:42:45 +0000,,,92,92% (12/13),100% (7/7),100% (7/7),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?p=16,Recorded*500:669*833:944|,,
