HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.task,Answer.comment,Approve,Reject
21ASZVXX2Q456XR7G77NNW1OHN3P7V,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2R0MZ9O9Z6KWG2TRRQ8RWLFSYJGB2X,A111JI6APXR6QV,Approved,Thu Jan 09 00:53:39 GMT 2014,Thu Jan 09 00:55:15 GMT 2014,Thu Jan 09 08:55:15 GMT 2014,2014/01/09 08:57:47 +0000,,,96,100% (20/20),100% (15/15),100% (15/15),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=1,Recorded*4:105*357:493|Nice and interesting hits. Thanks.,,
21ASZVXX2Q456XR7G77NNW1OHN3P7V,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2WU5L8I9NZW6TH6NGNVQ17TA43TUK1,A1LTZ91HPYLFFT,Approved,Wed Jan 08 19:52:55 GMT 2014,Wed Jan 08 19:53:45 GMT 2014,Wed Jan 08 19:53:45 PST 2014,Wed Jan 08 13:11:37 PST 2014,,,50,100% (7/7),100% (7/7),100% (7/7),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=1,Recorded*189:305*494:567|Its very easy and good...,,
2NPD1X3V0FK0ORRJBNSMCPKLY06EL8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,244F806UFBNF4YNBDOU9ASW8LBAF1I,A8M5N77K4GJEL,Approved,Wed Jan 08 22:35:43 GMT 2014,Wed Jan 08 22:37:06 GMT 2014,Thu Jan 09 06:37:06 GMT 2014,2014/01/09 06:37:45 +0000,,,83,100% (3/3),100% (3/3),100% (3/3),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=2,Recorded*83:198*203:303|,,
2NPD1X3V0FK0ORRJBNSMCPKLY06EL8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,26R9RNDWIOV14AZ4VMKGZ130BU7GVX,ADTY9VY7XH5NU,Approved,Thu Jan 09 02:56:03 GMT 2014,Thu Jan 09 02:56:06 GMT 2014,Thu Jan 09 10:56:06 GMT 2014,2014/01/09 10:57:46 +0000,,,3,100% (8/8),100% (8/8),100% (8/8),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=2,Recorded*84:198*204:303|,,
2NPD1X3V0FK0ORRJBNSMCPKLY06EL8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2NHGFL6VCPWZLUUUORFV6S7ULZG7MA,A3PDKI5EE5ZC5B,Approved,Thu Jan 09 03:49:56 GMT 2014,Thu Jan 09 03:51:30 GMT 2014,Thu Jan 09 11:51:30 GMT 2014,2014/01/09 11:52:46 +0000,,,94,100% (36/36),100% (9/9),100% (9/9),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=2,Recorded*84:197*204:302|,,
2NPD1X3V0FK0ORRJBNSMCPKLY06EL8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2PD42J1LY58BJ5E3SR7FPHD34UGQ5Z,A2QKOPBSTYQOLR,Approved,Thu Jan 09 03:19:46 GMT 2014,Thu Jan 09 03:20:27 GMT 2014,Thu Jan 09 11:20:27 GMT 2014,2014/01/09 11:22:45 +0000,,,41,100% (12/12),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=2,Recorded*84:301*0:83|,,
2NPD1X3V0FK0ORRJBNSMCPKLY06EL8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2RNWAVKI62NJ258OU809VH6DIHDJRF,A2F0NZQ8F9ON8C,Approved,Thu Jan 09 03:34:25 GMT 2014,Thu Jan 09 03:35:04 GMT 2014,Thu Jan 09 11:35:04 GMT 2014,2014/01/09 11:37:45 +0000,,,39,100% (13/13),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=2,Recorded*84:198*204:303|,,
2NPD1X3V0FK0ORRJBNSMCPKLY06EL8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2ZYAUC26DG67P44KN96K5COM0E75CZ,A111JI6APXR6QV,Approved,Thu Jan 09 00:50:04 GMT 2014,Thu Jan 09 00:51:14 GMT 2014,Thu Jan 09 08:51:14 GMT 2014,2014/01/09 08:52:46 +0000,,,70,100% (20/20),100% (15/15),100% (15/15),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=2,Recorded*4:83*84:198|Nice and interesting hits. Thanks.,,
2C79746OQ1SN2TE7YGR56QKDC6G3N8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,280E4BLYHVI4GRZJCUL8INE1Q7BU0N,A2F0NZQ8F9ON8C,Approved,Thu Jan 09 03:36:33 GMT 2014,Thu Jan 09 03:36:58 GMT 2014,Thu Jan 09 11:36:58 GMT 2014,2014/01/09 11:37:45 +0000,,,25,100% (13/13),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=3,Recorded*32:96*0:31|,,
2C79746OQ1SN2TE7YGR56QKDC6G3N8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,28XCOW0LGRZ3KFYWDLXVSUZYBN1Z83,A2QKOPBSTYQOLR,Approved,Thu Jan 09 03:14:29 GMT 2014,Thu Jan 09 03:14:52 GMT 2014,Thu Jan 09 11:14:52 GMT 2014,2014/01/09 11:17:45 +0000,,,23,100% (12/12),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=3,Recorded*0:31*32:96|,,
2C79746OQ1SN2TE7YGR56QKDC6G3N8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,298KPEIB9BAWXVTEHZWV2UD5KOIX06,A111JI6APXR6QV,Approved,Thu Jan 09 00:34:20 GMT 2014,Thu Jan 09 00:36:37 GMT 2014,Thu Jan 09 08:36:37 GMT 2014,2014/01/09 08:37:46 +0000,,,137,100% (20/20),100% (15/15),100% (15/15),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=3,Recorded*4:31*32:96|Nice and interesting hits. Thanks. Love to work more for you always. Wish you all the best. Happy New Year.,,
2C79746OQ1SN2TE7YGR56QKDC6G3N8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2JKKMT6YTWX4T6OJHKVDE9GK4EJV0C,AKG5TLUQ2WWED,Approved,Thu Jan 09 02:57:57 GMT 2014,Thu Jan 09 02:58:19 GMT 2014,Thu Jan 09 10:58:19 GMT 2014,2014/01/09 11:02:46 +0000,,,22,100% (1/1),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=3,Recorded*70:95*32:68|,,
2C79746OQ1SN2TE7YGR56QKDC6G3N8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2JUHECWA6X3Y0FJWSLG5PXPVGJJMLW,A3PDKI5EE5ZC5B,Approved,Thu Jan 09 03:39:32 GMT 2014,Thu Jan 09 03:40:29 GMT 2014,Thu Jan 09 11:40:29 GMT 2014,2014/01/09 11:42:49 +0000,,,57,100% (36/36),100% (9/9),100% (9/9),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=3,Recorded*0:30*31:95|,,
2C79746OQ1SN2TE7YGR56QKDC6G3N8,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2SFMHGYQ4J3NMEDS7V6FTYYKRWJNA2,AG6B67SGAF0RZ,Approved,Thu Jan 09 00:27:12 GMT 2014,Thu Jan 09 00:31:26 GMT 2014,Thu Jan 09 08:31:26 GMT 2014,2014/01/09 08:32:46 +0000,,,254,100% (1/1),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=3,But the students are not there. The problem for me was not ignorance; it was preconceived ideas.|,,
215QY2RCJK63BYLK90RKZIARYY0U5H,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,254PWZ9RNDWI0Y89Z1E3ITGWZYXDSF,ADTY9VY7XH5NU,Approved,Thu Jan 09 02:49:58 GMT 2014,Thu Jan 09 02:51:37 GMT 2014,Thu Jan 09 10:51:37 GMT 2014,2014/01/09 10:52:46 +0000,,,99,100% (8/8),100% (8/8),100% (8/8),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=4,Recorded*0:174*179:356|,,
215QY2RCJK63BYLK90RKZIARYY0U5H,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2CEIKMN9U8P9A6FAO5OI8SU0GI4CTA,A1LTZ91HPYLFFT,Approved,Thu Jan 09 03:57:30 GMT 2014,Thu Jan 09 04:04:10 GMT 2014,Thu Jan 09 12:04:10 GMT 2014,2014/01/09 12:07:46 +0000,,,400,100% (7/7),100% (7/7),100% (7/7),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=4,Recorded*84:174*257:356|Its really good and interesting to work this study...,,
215QY2RCJK63BYLK90RKZIARYY0U5H,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2DO5XH0JPPSIEN5VHUJPC5KNK14GMP,A8M5N77K4GJEL,Approved,Wed Jan 08 22:33:57 GMT 2014,Wed Jan 08 22:35:40 GMT 2014,Thu Jan 09 06:35:40 GMT 2014,2014/01/09 06:37:45 +0000,,,103,100% (3/3),100% (3/3),100% (3/3),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=4,Recorded*179:356|,,
215QY2RCJK63BYLK90RKZIARYY0U5H,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2R0MZ9O9Z6KWG2TRRQ8RWLFSYKP2BZ,A2F0NZQ8F9ON8C,Approved,Thu Jan 09 03:31:22 GMT 2014,Thu Jan 09 03:31:59 GMT 2014,Thu Jan 09 11:31:59 GMT 2014,2014/01/09 11:32:46 +0000,,,37,100% (13/13),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=4,Recorded*0:174*179:356|,,
215QY2RCJK63BYLK90RKZIARYY0U5H,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2TMNU8LZ6R70S8YQ0MZJ8VE9UNJ5LD,A111JI6APXR6QV,Approved,Thu Jan 09 00:26:20 GMT 2014,Thu Jan 09 00:27:38 GMT 2014,Thu Jan 09 08:27:38 GMT 2014,2014/01/09 08:27:46 +0000,,,78,100% (20/20),100% (15/15),100% (15/15),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=4,Recorded*0:75*257:356|Nice and interesting hits. Thanks. Love to work more for you always. Wish you all the best. Happy New Year.,,
215QY2RCJK63BYLK90RKZIARYY0U5H,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,2ZOZ9RNDWIOVDVE9FC4TLU15W9ZUFQ,A2QKOPBSTYQOLR,Approved,Thu Jan 09 03:16:45 GMT 2014,Thu Jan 09 03:17:16 GMT 2014,Thu Jan 09 11:17:16 GMT 2014,2014/01/09 11:17:46 +0000,,,31,100% (12/12),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=4,Recorded*179:356*0:174|,,
2X6OGQSCM6IAM5ZVA3LU50OR9ZPHHK,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,20H6AUC26DG6JG8EV4RFP0CQIWV4B3,A2XWF366GZPAGV,Approved,Wed Jan 08 19:36:07 GMT 2014,Wed Jan 08 19:40:24 GMT 2014,Wed Jan 08 19:40:24 PST 2014,Wed Jan 08 13:11:36 PST 2014,,,257,100% (1/1),100% (1/1),100% (1/1),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=5,Recorded*304:344*431:464|,,
2X6OGQSCM6IAM5ZVA3LU50OR9ZPHHK,2PG46UXFCD459FLAFMJNYKIN40SVT0,Read a paragraph about global trends and select two sentences.,Read a paragraph about global trends and select two sentences that best summarize the paragraph.,summary* trends* global* research* summarization* highlight,$0.08 ,Wed Jan 08 19:33:28 GMT 2014,6,BatchId:1379176;,3600,28800,Wed Jan 15 19:33:28 GMT 2014,,,28ENCWYB49F94VZYPASJTNSV3D7SOW,A2F0NZQ8F9ON8C,Approved,Thu Jan 09 03:36:59 GMT 2014,Thu Jan 09 03:38:14 GMT 2014,Thu Jan 09 11:38:14 GMT 2014,2014/01/09 11:42:48 +0000,,,75,100% (13/13),100% (12/12),100% (12/12),http://www.eecs.berkeley.edu/~amypavel/demos/vis_project2/shortn/summarize.html?=5,Recorded*568:658*415:516|,,
